age,educational-num,gender,hours-per-week,native-country,income_>50K
67,16,Male,60,Cambodia,1
17,8,Male,15,Cambodia,0
31,13,Male,40,Cambodia,1
58,4,Male,40,Cambodia,0
25,10,Male,40,Cambodia,0
59,9,Male,40,Cambodia,0
70,5,Female,40,Cambodia,0
35,13,Male,60,Laos,0
28,9,Male,50,Cambodia,0
28,9,Male,45,Cambodia,1
21,10,Male,25,Cambodia,0
30,9,Male,60,Taiwan,0
59,10,Female,40,Cambodia,0
20,9,Male,40,Cambodia,0
45,4,Male,10,Cambodia,0
76,4,Female,12,Cambodia,0
30,6,Male,55,Cambodia,0
54,9,Male,40,Cambodia,1
19,10,Female,30,Cambodia,0
44,16,Male,50,Cambodia,1
31,10,Male,40,Cambodia,0
47,9,Male,40,Puerto-Rico,0
37,9,Male,40,Cambodia,0
59,13,Male,40,Jamaica,1
27,7,Male,40,Cambodia,0
24,9,Male,40,Cambodia,0
49,10,Male,44,Cambodia,1
36,14,Male,60,Cambodia,1
54,13,Male,40,Cambodia,1
44,10,Female,32,Cambodia,0
35,10,Male,60,Cambodia,0
19,9,Female,35,Cambodia,0
71,9,Male,45,Cambodia,1
62,9,Female,30,Cambodia,0
35,9,Male,60,Cambodia,0
64,5,Male,40,Cambodia,0
53,1,Male,40,Nicaragua,0
30,10,Female,40,Cambodia,0
34,13,Female,39,Cambodia,0
62,13,Male,1,Cambodia,1
21,10,Female,40,El-Salvador,0
42,9,Male,40,Cambodia,0
26,10,Male,52,Cambodia,1
43,10,Female,35,Cambodia,0
28,13,Female,35,Cambodia,0
23,13,Female,30,France,0
56,9,Male,50,Cambodia,0
21,9,Female,40,Cambodia,0
30,14,Male,30,Cambodia,0
58,13,Male,40,Poland,0
40,9,Female,40,Cambodia,0
21,10,Male,50,Cambodia,0
25,5,Male,40,Cambodia,0
63,14,Male,40,Cambodia,1
50,14,Male,45,Columbia,0
29,9,Male,45,Cambodia,0
50,9,Male,40,Cambodia,0
27,14,Female,40,Cambodia,0
